chrom	length	bases	mean	min	max
chr1	248956422	1589849796	6.39	0	22377
chr1_region	248956422	1589849796	6.39	0	22377
chr2	242193529	1182385029	4.88	0	325636
chr2_region	242193529	1182385029	4.88	0	325636
chr3	198295559	935542412	4.72	0	86793
chr3_region	198295559	935542412	4.72	0	86793
chr4	190214555	948756075	4.99	0	42141
chr4_region	190214555	948756075	4.99	0	42141
chr5	181538259	876224385	4.83	0	41535
chr5_region	181538259	876224385	4.83	0	41535
chr6	170805979	853033898	4.99	0	5194
chr6_region	170805979	853033898	4.99	0	5194
chr7	159345973	904254391	5.67	0	3049
chr7_region	159345973	904254391	5.67	0	3049
chr8	145138636	664573976	4.58	0	962
chr8_region	145138636	664573976	4.58	0	962
chr9	138394717	709813306	5.13	0	2811
chr9_region	138394717	709813306	5.13	0	2811
chr10	133797422	745107005	5.57	0	40015
chr10_region	133797422	745107005	5.57	0	40015
chr11	135086622	694198063	5.14	0	544
chr11_region	135086622	694198063	5.14	0	544
chr12	133275309	690265774	5.18	0	746
chr12_region	133275309	690265774	5.18	0	746
chr13	114364328	526323111	4.60	0	31699
chr13_region	114364328	526323111	4.60	0	31699
chr14	107043718	441822279	4.13	0	1886
chr14_region	107043718	441822279	4.13	0	1886
chr15	101991189	494751931	4.85	0	847
chr15_region	101991189	494751931	4.85	0	847
chr16	90338345	617507627	6.84	0	12276
chr16_region	90338345	617507627	6.84	0	12276
chr17	83257441	623182717	7.49	0	16867
chr17_region	83257441	623182717	7.49	0	16867
chr18	80373285	395633568	4.92	0	14778
chr18_region	80373285	395633568	4.92	0	14778
chr19	58617616	472703504	8.06	0	1044
chr19_region	58617616	472703504	8.06	0	1044
chr20	64444167	407586423	6.32	0	5147
chr20_region	64444167	407586423	6.32	0	5147
chr21	46709983	388406408	8.32	0	19939
chr21_region	46709983	388406408	8.32	0	19939
chr22	50818468	318625672	6.27	0	12250
chr22_region	50818468	318625672	6.27	0	12250
chrX	156040895	478567813	3.07	0	2577
chrX_region	3100992	30131305	9.72	0	1689
chrY	57227415	339217019	5.93	0	23075
chrY_region	0	0	0.00	0	0
chrM	16569	122475491	7391.85	0	8782
chrM_region	0	0	0.00	0	0
chr1_KI270706v1_random	175055	3555840	20.31	0	160
chr1_KI270706v1_random_region	175055	3555840	20.31	0	160
chr1_KI270707v1_random	32032	589228	18.39	0	54
chr1_KI270707v1_random_region	32032	589228	18.39	0	54
chr1_KI270708v1_random	127682	1281708	10.04	0	79
chr1_KI270708v1_random_region	127682	1281708	10.04	0	79
chr1_KI270709v1_random	66860	20615140	308.33	0	4610
chr1_KI270709v1_random_region	66860	20615140	308.33	0	4610
chr1_KI270710v1_random	40176	896109	22.30	0	62
chr1_KI270710v1_random_region	40176	896109	22.30	0	62
chr1_KI270711v1_random	42210	1407265	33.34	0	125
chr1_KI270711v1_random_region	42210	1407265	33.34	0	125
chr1_KI270712v1_random	176043	2406633	13.67	0	297
chr1_KI270712v1_random_region	176043	2406633	13.67	0	297
chr1_KI270713v1_random	40745	1326793	32.56	0	72
